county,location,deficiency_status,sufficiency_rating,bridge_id,year_built,average_daily_travel,deck_condition,superstructure_condition,substructure_condition,rating_deck_condition,rating_superstructure_condition,rating_substructure_condition
McHenry,County Line Road over Kishwaukee River at 0.4 mi N of US 20,Structurally deficient,20%,56304000000000,1921,75,1-Imminant failure condition,1-Imminant failure condition,4-Poor condition,1,1,4
DuPage,I-290 over Salt Creek at 0.6 mi NW of IL 83,Structurally deficient,34%,22010300000000,1970,136000,2-Critical condition,2-Critical condition,5-Fair condition,2,2,5
Cook,Chestnut Ave over W F N Br Chicago Riv at 0.5 M NE Lake P14,Structurally deficient,2%,16081900000000,1931,13600,2-Critical condition,2-Critical condition,6-Satisfactory condition,2,2,6
Cook,Torrence Ave over Grand Cal River at 1.5 mi N IL 83,Structurally deficient,2%,16093400000000,1938,11900,2-Critical condition,1-Imminant failure condition,4-Poor condition,2,1,4
Will,Farrell Rd over Spring Cr at 0.2 mi N of US56,Structurally deficient,28%,99430000000000,1976,3100,2-Critical condition,2-Critical condition,6-Satisfactory condition,2,2,6
DuPage,Hill Avenue over East Br Dupage R at N Ill 38 W Ill 53,Structurally deficient,28%,22302500000000,1956,2550,2-Critical condition,2-Critical condition,5-Fair condition,2,2,5
Cook,Roy Ave over Addison Cr at 0.1 mi N North P9,Structurally deficient,29%,16761200000000,1966,1350,2-Critical condition,2-Critical condition,6-Satisfactory condition,2,2,6
Cook,Prater Ave over Addison Cr at 0.1 mi N North P9,Structurally deficient,30%,16761000000000,1965,1000,2-Critical condition,2-Critical condition,5-Fair condition,2,2,5
Cook,21St St over Addison Cr at 0.22Mi.W. of 17th Av,Structurally deficient,36%,16665000000000,1974,300,2-Critical condition,2-Critical condition,5-Fair condition,2,2,5
Lake,Forest Ave over Ravine at .13Ms of Prospect Av,Structurally deficient,26%,49655800000000,1958,300,2-Critical condition,2-Critical condition,6-Satisfactory condition,2,2,6
Kane,Price Road over Big Rock Creek at Price W of Rhodes Av,Structurally deficient,35%,45310600000000,1974,125,2-Critical condition,2-Critical condition,6-Satisfactory condition,2,2,6
DuPage,Warrenville Rd over E.Branch Du Page Rv at 0.3 mi W IL 53,Structurally deficient,21%,22300300000000,1946,21800,3-Serious condition,3-Serious condition,6-Satisfactory condition,3,3,6
Cook,Quentin Rd over Br of Salt Creek at 0.2 mi N Dundee P18,Structurally deficient,2%,16301100000000,1900,20400,3-Serious condition,3-Serious condition,4-Poor condition,3,3,4
McHenry,Il 47 over Kishwaukee River at 4.7 mi S US 14,Structurally deficient,49%,56002500000000,1936,18200,3-Serious condition,3-Serious condition,6-Satisfactory condition,3,3,6
Lake,US 12 WB over IL 59 SB at 0.5 mi N of IL 134,Structurally deficient,30%,49002000000000,1966,18100,3-Serious condition,3-Serious condition,6-Satisfactory condition,3,3,6
Lake,Greenwood Avenue over IL 137(Amstutz Expy) at 0.2M E of Sheridan R,Structurally deficient,80%,49011700000000,1971,11300,3-Serious condition,5-Fair condition,5-Fair condition,3,5,5
