county,bridges,deficient,deficient_per,FIPS,chicago_area
Cook,1678,160,0.0954,17031,1
DuPage,297,18,0.0606,17043,1
Kane,302,27,0.0894,17089,1
Lake,249,33,0.1325,17097,1
McHenry,226,20,0.0885,17111,1
Will,634,62,0.0978,17197,1
Adams,313,14,0.0447,17001,
Alexander,93,6,0.0645,17003,
Bond,162,23,0.1420,17005,
Boone,109,4,0.0367,17007,
Brown,72,11,0.1528,17009,
Bureau,377,56,0.1485,17011,
Calhoun,81,6,0.0741,17013,
Carroll,181,13,0.0718,17015,
Cass,77,13,0.1688,17017,
Champaign,721,23,0.0319,17019,
Christian,326,64,0.1963,17021,
Clark,228,11,0.0482,17023,
Clay,166,23,0.1386,17025,
Clinton,189,11,0.0582,17027,
Coles,305,26,0.0852,17029,
Crawford,195,24,0.1231,17033,
Cumberland,164,9,0.0549,17035,
DeKalb,258,30,0.1163,17037,
DeWitt,195,12,0.0615,17039,
Douglas,229,10,0.0437,17041,
Edgar,274,9,0.0328,17045,
Edwards,77,4,0.0519,17047,
Effingham,252,16,0.0635,17049,
Fayette,361,37,0.1025,17051,
Ford,301,11,0.0365,17053,
Franklin,302,5,0.0166,17055,
Fulton,212,19,0.0896,17057,
Gallatin,78,6,0.0769,17059,
Greene,163,9,0.0552,17061,
Grundy,265,16,0.0604,17063,
Hamilton,167,8,0.0479,17065,
Hancock,299,52,0.1739,17067,
Hardin,59,6,0.1017,17069,
Henderson,145,8,0.0552,17071,
Henry,327,16,0.0489,17073,
Iroquois,565,69,0.1221,17075,
Jackson,226,9,0.0398,17077,
Jasper,185,17,0.0919,17079,
Jefferson,257,22,0.0856,17081,
Jersey,112,4,0.0357,17083,
Jo Daviess,192,25,0.1302,17085,
Johnson,116,4,0.0345,17087,
Kankakee,344,20,0.0581,17091,
Kendall,128,2,0.0156,17093,
Knox,308,42,0.1364,17095,
LaSalle,521,40,0.0768,17099,
Lawrence,177,25,0.1412,17101,
Lee,373,23,0.0617,17103,
Livingston,578,49,0.0848,17105,
Logan,293,39,0.1331,17107,
Macon,345,49,0.1420,17115,
Macoupin,246,35,0.1423,17117,
Madison,524,38,0.0725,17119,
Marion,293,22,0.0751,17121,
Marshall,156,15,0.0962,17123,
Mason,81,5,0.0617,17125,
Massac,130,8,0.0615,17127,
McDonough,201,18,0.0896,17109,
McLean,622,17,0.0273,17113,
Menard,91,8,0.0879,17129,
Mercer,165,21,0.1273,17131,
Monroe,131,2,0.0153,17133,
Montgomery,264,27,0.1023,17135,
Morgan,234,18,0.0769,17137,
Moultrie,163,8,0.0491,17139,
Ogle,377,11,0.0292,17141,
Peoria,362,74,0.2044,17143,
Perry,129,3,0.0233,17145,
Piatt,241,11,0.0456,17147,
Pike,332,33,0.0994,17149,
Pope,85,2,0.0235,17151,
Pulaski,106,9,0.0849,17153,
Putnam,50,7,0.1400,17155,
Randolph,149,12,0.0805,17157,
Richland,150,17,0.1133,17159,
Rock Island,275,19,0.0691,17161,
Saline,187,16,0.0856,17165,
Sangamon,458,25,0.0546,17167,
Schuyler,112,11,0.0982,17169,
Scott,99,8,0.0808,17171,
Shelby,342,55,0.1608,17173,
St. Clair,475,31,0.0653,17163,
Stark,91,5,0.0549,17175,
Stephenson,341,18,0.0528,17177,
Tazewell,359,39,0.1086,17179,
Union,200,16,0.0800,17181,
Vermilion,496,44,0.0887,17183,
Wabash,92,11,0.1196,17185,
Warren,201,12,0.0597,17187,
Washington,234,16,0.0684,17189,
Wayne,262,29,0.1107,17191,
White,219,28,0.1279,17193,
Whiteside,276,10,0.0362,17195,
Williamson,197,4,0.0203,17199,
Winnebago,471,42,0.0892,17201,
Woodford,206,13,0.0631,17203,
Illinois average,26704,2243,0.0840,,1
